"req_id","req_user_id","req_for_id","req_islead_id","req_cat_id","req_type_id","req_priority_id","req_status_id","req_loc","iscalamity","req_subj","req_desc","req_doc_link","audio_req_desc","submission_date","serviced_date","last_update_date","to_public"
"REQ-00-000-000-0046","SID-00-000-000-102",1,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2025-12-28 07:39:09.904442",NULL,"2025-12-28 07:39:09.904442",False
"REQ-00-000-000-0047","SID-00-000-000-102",1,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2025-12-28 07:47:33.895642",NULL,"2025-12-28 07:47:33.895642",False
"REQ-00-000-000-0048","SID-00-000-000-105",1,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2025-12-28 07:53:37.893175",NULL,"2025-12-28 07:53:37.893175",False
"REQ-00-000-000-0049","SID-00-000-000-104",0,1,"4.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2025-12-29 04:00:26.187137",NULL,"2025-12-29 04:00:26.187137",False
"REQ-00-000-000-0050","SID-00-000-000-105",0,1,"4.3",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2025-12-29 04:01:59.00537",NULL,"2025-12-29 04:01:59.00537",False
"REQ-00-000-000-0051","SID-00-000-000-104",0,1,"4.3",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2025-12-29 04:19:10.596257",NULL,"2025-12-29 04:19:10.596257",False
"REQ-00-000-000-0052","SID-00-000-000-255",0,0,"6.5",1,2,1,NULL,False,"test","testing",NULL,NULL,"2025-12-29 22:25:45.465537",NULL,"2025-12-29 22:25:45.465537",False
"REQ-00-000-000-0053","SID-00-000-000-255",0,0,"1.2",1,1,1,NULL,False,"test","t",NULL,NULL,"2025-12-30 20:53:35.496416",NULL,"2025-12-30 20:53:35.496416",False
"REQ-00-000-000-0054","SID-00-000-000-255",0,1,"5.3",1,3,1,NULL,False,"testing","loooooooooooooooooooooooooooooooooooooooooooooong",NULL,NULL,"2025-12-30 20:55:25.593899",NULL,"2025-12-30 20:55:25.593899",False
"REQ-00-000-000-0055","SID-00-000-000-255",0,0,"4.3",0,1,1,NULL,False,"te","test",NULL,NULL,"2025-12-30 20:57:50.197824",NULL,"2025-12-30 20:57:50.197824",False
"REQ-00-000-000-0056","SID-00-000-000-255",0,1,"3.5",1,0,1,NULL,True,"testing help request","looooooooooooooong",NULL,NULL,"2025-12-30 21:11:43.498736",NULL,"2025-12-30 21:11:43.498736",False
"REQ-00-000-000-0057","SID-00-000-000-255",0,0,"6.2",1,1,1,NULL,False,"t","t",NULL,NULL,"2025-12-30 21:13:22.116565",NULL,"2025-12-30 21:13:22.116565",False
"REQ-00-000-000-0058","SID-00-000-000-255",0,0,"6.3",1,2,1,NULL,False,"test space","testiiiiiiiiiiiiiiiiiiiiiiiing",NULL,NULL,"2025-12-30 21:15:33.815607",NULL,"2025-12-30 21:15:33.815607",False
"REQ-00-000-000-0059","SID-00-000-000-255",0,0,"4.2",1,1,1,NULL,False,"test","test",NULL,NULL,"2025-12-30 21:16:05.771852",NULL,"2025-12-30 21:16:05.771852",False
"REQ-00-000-000-0060","SID-00-000-000-256",0,0,"4.3",1,1,1,NULL,False,"tution available","looking for language tuitions",NULL,NULL,"2025-12-30 21:30:28.594359",NULL,"2025-12-30 21:30:28.594359",False
"REQ-00-000-000-0061","SID-00-000-000-256",0,0,"4.3",1,1,1,NULL,False,"tution available","looking for language tuitions",NULL,NULL,"2025-12-30 21:30:28.838074",NULL,"2025-12-30 21:30:28.838074",False
"REQ-00-000-000-0062","SID-00-000-000-255",0,0,"6.3",1,1,1,NULL,False,"test","t",NULL,NULL,"2025-12-30 21:30:50.522772",NULL,"2025-12-30 21:30:50.522772",False
"REQ-00-000-000-0063","SID-00-000-000-056",0,0,"3.4",1,1,1,NULL,False,"test","First test request",NULL,NULL,"2025-12-30 21:58:55.79458",NULL,"2025-12-30 21:58:55.79458",False
"REQ-00-000-000-0064","SID-00-000-000-050",0,0,"4.3",1,1,1,NULL,False,"need tutoring help in math","Looking for a good math tutor for a high school student.",NULL,NULL,"2025-12-30 22:03:35.626965",NULL,"2025-12-30 22:03:35.626965",False
"REQ-00-000-000-0065","SID-00-000-000-050",0,0,"1.3",1,1,1,NULL,False,"Need cooking help","Looking for some cooking help.",NULL,NULL,"2025-12-30 22:06:30.767423",NULL,"2025-12-30 22:06:30.767423",False
"REQ-00-000-000-0066","SID-00-000-000-050",0,0,"6.3",1,1,1,NULL,False,"medication support","medication support",NULL,NULL,"2026-01-05 21:24:55.049247",NULL,"2026-01-05 21:24:55.049247",False
"REQ-00-000-000-0067","SID-00-000-000-255",0,0,"4.3",1,1,1,NULL,False,"need tutoring help","example",NULL,NULL,"2026-01-08 00:45:48.507348",NULL,"2026-01-08 00:45:48.507348",False
"REQ-00-000-000-0068","SID-00-000-000-102",0,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2026-01-08 23:28:27.710649",NULL,"2026-01-08 23:28:27.710649",False
"REQ-00-000-000-0069","SID-00-000-000-056",0,0,"1.2",1,2,1,NULL,False,"Grocery","Need help with grocery delivery",NULL,NULL,"2026-01-08 23:35:34.522514",NULL,"2026-01-08 23:35:34.522514",False
"REQ-00-000-000-0070","SID-00-000-000-056",0,0,"2.4",1,1,1,NULL,False,"Tailoring help","Need to find tailoring help",NULL,NULL,"2026-01-08 23:45:34.675498",NULL,"2026-01-08 23:45:34.675498",False
"REQ-00-000-000-0071","SID-00-000-000-056",0,0,"3.7",1,1,1,NULL,False,"Need help","Need help with moving",NULL,NULL,"2026-01-08 23:52:56.184624",NULL,"2026-01-08 23:52:56.184624",False
"REQ-00-000-000-0072","SID-00-000-000-056",0,0,"4.1",1,1,1,NULL,False,"College help","Need help with application",NULL,NULL,"2026-01-09 00:02:49.977325",NULL,"2026-01-09 00:02:49.977325",False
"REQ-00-000-000-0073","SID-00-000-000-056",0,0,"4.2",1,1,1,NULL,False,"essay","help with essay",NULL,NULL,"2026-01-09 02:47:40.716301",NULL,"2026-01-09 02:47:40.716301",False
"REQ-00-000-000-0074","SID-00-000-000-056",0,0,"2.1",1,1,1,NULL,False,"Donate","Want to donate clothes",NULL,NULL,"2026-01-09 03:57:31.471001",NULL,"2026-01-09 03:57:31.471001",False
"REQ-00-000-000-0075","SID-00-000-000-102",0,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2026-01-09 21:00:26.805362",NULL,"2026-01-09 21:00:26.805362",False
"REQ-00-000-000-0076","SID-00-000-000-059",0,1,"4.1",1,1,1,NULL,False,"College Application","Adfadfasdfa",NULL,NULL,"2026-01-09 22:53:35.29328",NULL,"2026-01-09 22:53:35.29328",False
"REQ-00-000-000-0077","SID-00-000-000-103",0,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2026-01-10 01:02:36.608449",NULL,"2026-01-10 01:02:36.608449",False
"REQ-00-000-000-0078","SID-00-000-000-056",0,0,"6.2",1,1,1,NULL,False,"Need help with PC","My laptop is not booting",NULL,NULL,"2026-01-10 03:35:48.028185",NULL,"2026-01-10 03:35:48.028185",False
"REQ-00-000-000-0079","SID-00-000-000-056",0,0,"4.6",1,1,1,NULL,False,"Career","Need help with career guidance",NULL,NULL,"2026-01-10 04:53:06.658775",NULL,"2026-01-10 04:53:06.658775",False
"REQ-00-000-000-0080","SID-00-000-000-059",0,1,"6.1",1,2,1,NULL,False,"Abcsdfa","Dsafasdf",NULL,NULL,"2026-01-15 21:26:02.49673",NULL,"2026-01-15 21:26:02.49673",False
"REQ-00-000-000-0081","SID-00-000-000-050",0,0,"4.3",1,1,1,NULL,False,"Need tutoring","Need tutoring in Math",NULL,NULL,"2026-01-16 18:47:17.127995",NULL,"2026-01-16 18:47:17.127995",False
"REQ-00-000-000-0082","SID-00-000-001-515",0,0,"2.1",1,1,1,NULL,False,"fgd","gfgf",NULL,NULL,"2026-01-18 19:22:25.849298",NULL,"2026-01-18 19:22:25.849298",False
"REQ-00-000-000-0083","SID-00-000-001-515",0,0,"2.1",1,1,1,NULL,False,"fgd","gfgf",NULL,NULL,"2026-01-18 19:22:26.615006",NULL,"2026-01-18 19:22:26.615006",False
"REQ-00-000-000-0084","SID-00-000-001-515",0,0,"3.1",1,1,1,NULL,False,"Verification Limit Exceeded. (Only  usig for the first time)","ffcbcvb",NULL,NULL,"2026-01-18 19:22:44.599588",NULL,"2026-01-18 19:22:44.599588",False
"REQ-00-000-000-0085","SID-00-000-000-050",0,0,"4.3",1,1,1,NULL,False,"need tutoring","need tutroing",NULL,NULL,"2026-01-21 18:29:05.314969",NULL,"2026-01-21 18:29:05.314969",False
"REQ-00-000-000-0086","SID-00-000-000-059",0,1,"6.1",1,1,1,NULL,False,"Adds","Add add add",NULL,NULL,"2026-01-22 20:48:28.14045",NULL,"2026-01-22 20:48:28.14045",False
"REQ-00-000-000-0087","SID-00-000-000-101",0,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2026-02-04 21:16:11.864324",NULL,"2026-02-04 21:16:11.864324",False
"REQ-00-000-000-0088","SID-00-000-000-101",0,1,"5.2",1,3,1,NULL,False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.",NULL,NULL,"2026-02-04 21:23:33.564035",NULL,"2026-02-04 21:23:33.564035",False
"REQ-00-000-000-0177","SID-00-000-002-825",0,0,"0.0.0.0.0",1,1,1,NULL,False,"gg","gg",NULL,NULL,"2026-03-30 21:35:11.967887",NULL,"2026-03-30 21:35:11.967887",False
"REQ-00-000-000-0089","SID-00-000-000-056",0,0,"4.1",1,1,1,NULL,False,"College help","मुझे मदद चाहिए ",NULL,NULL,"2026-02-05 02:41:05.508445",NULL,"2026-02-05 02:41:05.508445",False
"REQ-00-000-000-0090","SID-00-000-001-923",0,0,"4.3",1,1,1,NULL,False,"Need Tutor","Need Tutor to Teach",NULL,NULL,"2026-02-05 17:49:28.862226",NULL,"2026-02-05 17:49:28.862226",False
"REQ-00-000-000-0091","SID-00-000-000-059",0,1,"0.0.0.0.0",1,1,1,NULL,False,"Adfas","Adfasd",NULL,NULL,"2026-02-05 21:52:22.49729",NULL,"2026-02-05 21:52:22.49729",False
"REQ-00-000-000-0092","SID-00-000-000-059",0,1,"0.0.0.0.0",1,2,1,NULL,False,"Stock","Recommend a stock",NULL,NULL,"2026-02-05 23:30:15.009807",NULL,"2026-02-05 23:30:15.009807",False
"REQ-00-000-000-0093","SID-00-000-000-059",0,1,"0.0.0.0.0",1,1,1,NULL,False,"Stock","Help me with stock recommendation please",NULL,NULL,"2026-02-06 04:14:55.435512",NULL,"2026-02-06 04:14:55.435512",False
"REQ-00-000-000-0094","SID-00-000-000-056",0,0,"1.3",1,1,1,NULL,False,"Need cook","Need cook for weekly meal planning",NULL,NULL,"2026-02-06 20:42:59.969601",NULL,"2026-02-06 20:42:59.969601",False
"REQ-00-000-000-0095","SID-00-000-000-056",0,0,"1.1",1,1,1,NULL,False,"मला पुरणपोळी करून पाहिजे","मला उद्या पुरणपोळी करून पाहिजे आहेत. कोणी उपलब्ध असतील तर कळवावे. आभारी आहे. ",NULL,NULL,"2026-02-07 01:25:44.603626",NULL,"2026-02-07 01:25:44.603626",False
"REQ-00-000-000-0096","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have winter clothes to donate","I have gently used winter coats and jackets to donate",NULL,NULL,"2026-02-11 00:55:49.356917",NULL,"2026-02-11 00:55:49.356917",False
"REQ-00-000-000-0097","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have winter clothes to donate","I have gently used winter coats and jackets to donate",NULL,NULL,"2026-02-11 01:52:25.044085",NULL,"2026-02-11 01:52:25.044085",False
"REQ-00-000-000-0098","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have winter clothes to donate","I have gently used winter coats and jackets to donate",NULL,NULL,"2026-02-11 02:03:20.605922",NULL,"2026-02-11 02:03:20.605922",False
"REQ-00-000-000-0099","SID-00-000-001-923",0,0,"1.3",1,1,1,NULL,False,"Need Cooking Help","Need help with cooking",NULL,NULL,"2026-02-11 02:42:44.869952",NULL,"2026-02-11 02:42:44.869952",False
"REQ-00-000-000-0100","SID-00-000-001-923",0,0,"1.3",1,1,1,NULL,False,"Need Cooking Help","Need help with cooking",NULL,NULL,"2026-02-11 02:42:45.729742",NULL,"2026-02-11 02:42:45.729742",False
"REQ-00-000-000-0101","SID-00-000-000-059",0,1,"0.0.0.0.0",1,1,1,NULL,False,"adfadf","dasfasf",NULL,NULL,"2026-02-12 21:28:20.795796",NULL,"2026-02-12 21:28:20.795796",False
"REQ-00-000-000-0102","SID-00-000-002-344",0,0,"2.1",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-13 17:13:23.376454",NULL,"2026-02-13 17:13:23.376454",False
"REQ-00-000-000-0103","SID-00-000-002-344",0,0,"2.1",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-13 17:13:23.382409",NULL,"2026-02-13 17:13:23.382409",False
"REQ-00-000-000-0104","SID-00-000-002-344",0,0,"2.1",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-13 17:13:29.241585",NULL,"2026-02-13 17:13:29.241585",False
"REQ-00-000-000-0105","SID-00-000-002-344",0,0,"2.1",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-13 19:48:55.214752",NULL,"2026-02-13 19:48:55.214752",False
"REQ-00-000-000-0106","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-16 20:02:08.309311",NULL,"2026-02-16 20:02:08.309311",False
"REQ-00-000-000-0107","SID-00-000-000-059",0,1,"0.0.0.0.0",1,1,1,NULL,False,"Sad","Adfadf",NULL,NULL,"2026-02-18 18:18:28.716141",NULL,"2026-02-18 18:18:28.716141",False
"REQ-00-000-000-0108","SID-00-000-000-059",0,1,"0.0.0.0.0",1,1,1,NULL,False,"Help me choose a stock","dafadfaf
",NULL,NULL,"2026-02-18 18:23:10.594837",NULL,"2026-02-18 18:23:10.594837",False
"REQ-00-000-000-0109","SID-00-000-000-059",0,1,"0.0.0.0.0",1,1,1,NULL,False,"dafads","adfasdf",NULL,NULL,"2026-02-18 18:28:30.221593",NULL,"2026-02-18 18:28:30.221593",False
"REQ-00-000-000-0110","SID-00-000-000-102",1,1,"5.2",1,3,1,"Ashburn, VA",False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.","https://example.com/docs/prescription-support.pdf","Audio description for prescription pickup.","2026-02-18 18:41:05.276336",NULL,"2026-02-18 18:41:05.276336",False
"REQ-00-000-000-0111","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:42:18.241013",NULL,"2026-02-18 19:42:18.241013",False
"REQ-00-000-000-0112","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:43:14.567333",NULL,"2026-02-18 19:43:14.567333",False
"REQ-00-000-000-0113","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:43:15.60931",NULL,"2026-02-18 19:43:15.60931",False
"REQ-00-000-000-0114","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:43:17.533116",NULL,"2026-02-18 19:43:17.533116",False
"REQ-00-000-000-0115","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:44:10.651918",NULL,"2026-02-18 19:44:10.651918",False
"REQ-00-000-000-0116","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:44:11.469669",NULL,"2026-02-18 19:44:11.469669",False
"REQ-00-000-000-0117","SID-00-000-001-923",0,0,"2.1",1,1,1,NULL,False,"Have Clothes for donation","Looking to donate clothes",NULL,NULL,"2026-02-18 19:44:13.683486",NULL,"2026-02-18 19:44:13.683486",False
"REQ-00-000-000-0118","SID-00-000-002-672",0,0,"2.2",1,1,1,NULL,False,"abc","dsfsf",NULL,NULL,"2026-02-19 19:37:35.590177",NULL,"2026-02-19 19:37:35.590177",False
"REQ-00-000-000-0119","SID-00-000-002-672",0,0,"1.1",1,1,1,NULL,False,"abc","cccv",NULL,NULL,"2026-02-19 19:49:04.024187",NULL,"2026-02-19 19:49:04.024187",False
"REQ-00-000-000-0120","SID-00-000-002-344",0,0,"2.1",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-20 02:38:25.410082",NULL,"2026-02-20 02:38:25.410082",False
"REQ-00-000-000-0121","SID-00-000-002-344",0,0,"2.1",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-20 02:38:25.664067",NULL,"2026-02-20 02:38:25.664067",False
"REQ-00-000-000-0122","SID-00-000-000-102",1,1,"5.2",1,3,1,"Ashburn, VA",False,"Need urgent help with prescription pickup","Elderly person requires assistance to pick up prescribed medicines from the nearest pharmacy.","https://example.com/docs/prescription-support.pdf","Audio description for prescription pickup.","2026-02-23 18:08:38.242368",NULL,"2026-02-23 18:08:38.242368",False
"REQ-00-000-000-0123","SID-00-000-002-344",0,0,"4.2",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-23 19:42:14.231461",NULL,"2026-02-23 19:42:14.231461",False
"REQ-00-000-000-0124","SID-00-000-002-344",0,0,"4.2",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-23 19:42:15.437376",NULL,"2026-02-23 19:42:15.437376",False
"REQ-00-000-000-0125","SID-00-000-002-344",0,0,"4.2",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-23 19:42:17.519718",NULL,"2026-02-23 19:42:17.519718",False
"REQ-00-000-000-0126","SID-00-000-002-344",0,0,"4.2",1,1,1,NULL,False,"abc","abc",NULL,NULL,"2026-02-23 19:42:17.530883",NULL,"2026-02-23 19:42:17.530883",False
