en_id,country_id,state_id,en_name,is_country,police,ambulance,fire,non_emergency,cyber_police,medicare_support,gas_leak,electricity_outage,water_department,disaster_recovery,flood_help,earthquake_info,hurricane_info,emergency_mgmt,environmental_hazards,transportation_assistance,roadside_assistance,highway_patrol,suicide,help_women,child_abuse,domestic_abuse,mental_health,elderly_abuse,poison_control,animal_control,wildlife_rescue,homeless_services,food_assistance
19,19,19,herself,Gambia,near,draw,leg,figure,serious,business,item,West Williammouth,article,stand,dog,eye,put,hear,though,against,finally,once,until,late,in,bar,at,one,tough,despite,that,big,success
20,20,20,letter,Jamaica,stage,feeling,including,beyond,between,control,bill,Villegasfort,stock,play,reveal,play,want,source,while,lose,spring,soon,relate,such,million,before,answer,dream,development,develop,teacher,but,nice
21,21,21,sea,Timor-Leste,bring,professional,third,why,minute,single,hit,Lake Philipborough,provide,wonder,return,fight,training,be,mouth,evening,individual,throughout,eat,vote,while,discuss,nation,born,eat,avoid,adult,that,assume
22,22,22,beautiful,Lao People's Democratic Republic,read,there,much,form,station,from,actually,North Mollyport,back,artist,loss,tonight,performance,area,writer,list,especially,next,size,seem,data,work,weight,mother,lawyer,over,knowledge,what,you
23,23,23,know,Saint Helena,color,example,result,develop,born,language,thus,West Cameron,tell,fight,event,movement,down,set,where,sister,time,evidence,sound,role,necessary,explain,cup,between,for,it,today,raise,type
24,24,24,serve,Maldives,standard,spend,structure,drive,physical,effort,oil,Jonesshire,purpose,blue,call,range,per,Mrs,join,thing,cost,industry,your,fall,especially,approach,foreign,ten,hair,husband,as,much,step
25,25,25,difficult,Italy,fight,suddenly,read,trade,right,fill,maybe,Lake Patrick,hospital,long,check,consider,money,similar,future,thus,window,much,herself,notice,amount,house,yet,end,adult,such,try,throw,rise
26,26,26,summer,Kyrgyz Republic,note,less,important,majority,play,couple,money,North Kaylamouth,million,likely,bit,bank,Mr,movie,build,away,daughter,set,poor,school,best,American,least,research,thought,establish,gun,usually,local
27,27,27,bill,Algeria,source,nature,notice,always,over,will,actually,North Elizabethport,especially,pay,special,live,whom,father,blue,usually,article,from,leave,five,staff,could,detail,cultural,word,soon,general,series,crime
28,28,28,quality,Mozambique,anyone,wife,result,such,Democrat,of,become,East Davidborough,turn,yourself,hour,scientist,decision,reach,lose,five,increase,involve,from,east,trip,trade,do,provide,member,happy,sure,whether,authority
29,29,29,accept,United States Minor Outlying Islands,attention,sign,entire,matter,media,culture,amount,West Samanthastad,line,various,hot,imagine,again,statement,member,me,yet,data,sister,per,relationship,vote,alone,whether,rise,human,either,base,difference
30,30,30,western,Monaco,with,realize,interest,team,history,ago,our,Washingtontown,add,floor,allow,reality,town,music,but,size,happen,consumer,need,improve,success,involve,contain,huge,official,most,degree,by,work
31,31,31,drive,Equatorial Guinea,Mr,think,physical,early,college,be,behavior,North Hunter,traditional,change,available,position,interest,television,half,real,up,son,establish,campaign,growth,effort,during,nature,pick,message,fill,us,writer
32,32,32,deal,Kuwait,officer,town,happy,certain,something,fill,month,Stephensshire,six,within,wonder,radio,force,kind,already,teacher,next,parent,close,opportunity,word,most,through,study,herself,age,international,nature,professional
33,33,33,indicate,Belgium,around,bar,actually,everyone,good,note,decision,Juarezview,program,training,my,film,many,other,always,car,people,wait,our,range,red,consider,live,opportunity,detail,there,personal,myself,official
34,34,34,share,Dominican Republic,company,study,live,song,run,source,traditional,Bellside,treat,career,finally,name,choose,garden,lot,admit,carry,west,performance,commercial,bring,eat,power,marriage,continue,authority,future,eight,series
35,35,35,discover,Norway,future,pay,way,or,consider,condition,picture,North Richardtown,try,soon,view,study,manager,response,program,fill,according,what,record,people,story,name,man,unit,crime,doctor,yet,lot,number
36,36,36,star,Malawi,suffer,attack,per,they,add,agent,through,South Nicholasville,teacher,operation,recently,south,entire,day,send,tell,cup,buy,base,to,white,war,fish,phone,tonight,environmental,serious,business,early
37,37,37,option,Saint Martin,strategy,effort,near,shake,reason,each,loss,Fernandezton,person,light,strategy,little,street,no,international,morning,bed,vote,hope,cold,born,Mrs,plant,senior,front,resource,before,him,PM
38,38,38,rule,Australia,successful,mouth,drive,more,research,thank,election,Rachelton,rule,everything,figure,present,should,themselves,sell,think,check,better,director,knowledge,beautiful,quite,apply,play,government,ability,enjoy,worker,door
39,39,39,relate,Kuwait,PM,situation,agent,throughout,maintain,follow,represent,Jonesbury,difficult,reflect,society,film,wear,sister,sea,several,mouth,newspaper,article,market,less,Mr,relate,individual,deep,speak,check,role,provide
40,40,40,particular,Maldives,mention,always,site,speech,term,force,work,Lambertstad,onto,home,wife,off,writer,certainly,free,first,lawyer,claim,finally,home,six,which,glass,hour,imagine,project,at,election,rule
41,41,41,summer,Singapore,forward,fall,fire,about,soon,perform,training,Williamsmouth,a,seven,none,check,deep,country,security,item,that,clearly,bag,answer,if,protect,week,reduce,modern,property,word,teacher,third
42,42,42,seek,Turkmenistan,clearly,several,then,financial,style,with,friend,Wheelershire,seem,response,low,south,himself,better,someone,white,line,adult,push,blue,choice,home,soldier,notice,your,analysis,between,ready,compare
43,43,43,head,Togo,decision,natural,do,mind,enter,step,Democrat,South Gregory,career,south,remain,sound,mention,particularly,security,free,stand,might,practice,few,fill,health,expect,relate,require,person,base,action,issue
44,44,44,civil,Italy,without,building,hundred,meeting,long,available,official,Andrewsview,event,reach,free,perhaps,up,only,former,page,significant,argue,begin,work,second,former,impact,better,teacher,defense,both,buy,sea
45,45,45,hundred,Turkmenistan,board,attack,let,follow,window,write,firm,Nguyenstad,society,strategy,cultural,sense,visit,camera,establish,forward,standard,party,star,free,determine,wall,our,race,serious,modern,last,together,west
46,46,46,hope,Kyrgyz Republic,name,boy,bank,another,rather,foot,candidate,Jamesview,land,culture,bag,ok,everyone,ground,task,town,agency,baby,space,possible,evidence,office,page,speech,house,throw,include,world,leg
47,47,47,street,France,those,early,either,thus,color,while,produce,Lake Larry,avoid,put,much,against,live,capital,alone,food,culture,shake,whatever,identify,culture,task,natural,half,second,film,meeting,season,the
48,48,48,piece,Namibia,address,down,get,culture,but,can,though,Kaiserport,program,dark,learn,star,military,man,miss,each,arrive,job,partner,son,we,wait,item,improve,group,film,describe,individual,thousand
49,49,49,reduce,South Africa,situation,none,decision,once,economy,point,mother,Williamsborough,sort,under,water,improve,common,suddenly,tough,edge,knowledge,the,doctor,poor,service,despite,method,service,trouble,degree,everybody,billion,system
50,50,50,full,Cambodia,example,spend,work,age,allow,under,condition,Karenfurt,picture,quickly,huge,there,house,claim,single,decision,even,international,record,experience,probably,carry,plan,buy,require,foreign,growth,modern,hand
51,51,51,father,Indonesia,each,the,reach,their,throughout,toward,fast,Dawnmouth,road,ahead,prevent,reach,choose,dark,sense,fact,by,position,effort,camera,good,address,time,from,despite,week,mouth,again,fund
52,52,52,game,Myanmar,them,happy,few,actually,age,power,law,Stevenville,describe,body,floor,follow,hour,eight,owner,school,performance,local,I,TV,as,thousand,evidence,serve,ahead,hope,center,everything,certain
53,53,53,yeah,Tonga,risk,since,blue,sure,space,could,choose,Butlerfort,seven,throw,decision,thank,some,growth,whatever,mean,condition,general,any,pattern,box,business,result,dinner,itself,important,mission,subject,health
54,54,54,spring,American Samoa,team,property,law,smile,similar,compare,tell,Lake Jason,choice,organization,vote,light,address,school,drive,eye,half,ten,wall,quality,job,start,yeah,official,step,despite,owner,amount,local
55,55,55,human,Venezuela,two,money,feeling,look,indicate,hospital,operation,Lake James,edge,want,sort,billion,site,girl,for,receive,activity,growth,entire,past,reduce,myself,threat,never,may,kid,former,majority,book
56,56,56,first,Tuvalu,reason,me,remain,development,help,need,industry,Mitchellbury,argue,often,Mrs,food,send,right,base,imagine,campaign,rate,town,begin,accept,usually,well,spend,full,up,customer,example,now
57,57,57,her,Denmark,strategy,better,apply,despite,soon,draw,need,Harrisview,part,generation,ok,risk,though,learn,question,sure,just,kid,heart,speech,meeting,get,get,hold,word,other,industry,explain,analysis
58,58,58,staff,Liechtenstein,by,certain,out,trial,our,group,eye,Cartershire,himself,rise,within,increase,out,perhaps,start,TV,hundred,gas,force,drive,laugh,television,cup,practice,opportunity,kitchen,agent,father,likely
59,59,59,goal,Kyrgyz Republic,its,word,choose,leader,note,brother,per,Lake Elizabeth,indeed,lead,admit,box,example,job,group,ability,fish,single,certainly,next,American,tree,article,happen,peace,style,thing,seek,parent
60,60,60,arrive,Faroe Islands,traditional,huge,school,physical,whom,idea,similar,Tarastad,daughter,form,chair,natural,large,your,control,character,guess,role,option,civil,visit,accept,bad,group,ability,lose,short,hundred,hour
61,61,61,would,Andorra,nearly,director,through,size,able,soldier,beyond,Port Lauraburgh,especially,poor,central,bit,degree,we,fund,bad,court,single,produce,want,professional,kind,specific,business,represent,else,them,standard,itself
62,62,62,government,Madagascar,no,still,whatever,dream,participant,main,front,Jenniferland,cup,beyond,Republican,which,better,dog,popular,room,see,more,like,democratic,let,drive,good,machine,fast,authority,example,once,church
63,63,63,discussion,Bangladesh,feel,week,argue,home,she,pull,personal,New Tonyberg,hit,instead,all,candidate,very,three,sister,current,may,attack,college,hand,music,say,medical,where,grow,have,vote,remain,spend
64,64,64,sit,Georgia,financial,also,to,sport,usually,soldier,product,South Patricia,local,either,significant,trial,letter,continue,out,person,drive,by,behind,whom,seem,among,site,positive,beat,door,old,about,participant
65,65,65,career,Seychelles,now,billion,opportunity,nothing,great,play,affect,Port Davidhaven,person,up,mind,note,it,current,center,sister,heart,thousand,own,project,everyone,everyone,upon,tend,who,gas,myself,result,test
66,66,66,focus,Timor-Leste,likely,second,thus,bill,here,law,office,Finleymouth,conference,himself,million,early,recently,wrong,course,bag,tough,range,beat,hold,marriage,collection,give,stock,popular,whether,we,day,practice
67,67,67,rate,Saint Vincent and the Grenadines,hour,blood,morning,prevent,of,area,nation,West Markland,however,national,traditional,whom,government,adult,message,beat,whether,report,fish,ball,dinner,nature,marriage,court,world,product,blue,station,simple
68,68,68,share,El Salvador,room,line,law,paper,morning,audience,apply,Sharonside,every,machine,meeting,live,nice,you,finish,strategy,outside,probably,stock,whole,under,family,research,ten,quite,network,nice,store,do
69,69,69,something,Honduras,month,within,information,manager,real,address,practice,Lake Ryanland,nice,though,economy,study,from,none,collection,property,personal,suddenly,fine,fall,away,general,benefit,tend,why,respond,practice,state,series
70,70,70,crime,Belize,whom,billion,whose,door,religious,report,executive,New Travismouth,smile,do,occur,side,kind,character,our,turn,consumer,old,office,pull,concern,serious,discover,section,report,couple,conference,another,nor
71,71,71,professor,Lebanon,music,run,job,fire,increase,identify,voice,West Raymond,film,project,among,at,character,clear,hit,small,be,also,person,few,during,once,clearly,her,while,nature,remember,reflect,material
72,72,72,still,Antigua and Barbuda,own,that,pay,class,lay,send,evidence,Terrancestad,travel,success,way,region,eye,usually,may,ok,general,shoulder,source,huge,education,discover,have,ready,work,its,so,discover,general
73,73,73,school,Niger,personal,actually,language,husband,blood,idea,tree,Mariaton,month,reveal,with,book,large,attack,while,her,guy,enough,gas,rich,help,very,color,return,organization,good,again,hospital,other
74,74,74,future,Argentina,program,budget,picture,director,list,end,difficult,North Samantha,movie,anyone,buy,church,institution,movement,door,all,everybody,bad,onto,ahead,hope,which,them,Republican,sort,chance,list,fight,writer
75,75,75,include,Cyprus,loss,sister,drug,tend,thing,economic,order,West Natalietown,show,tend,pull,executive,history,with,relationship,wish,majority,station,better,piece,campaign,morning,itself,space,often,tonight,write,skill,ball
76,76,76,later,Indonesia,four,off,from,think,just,sense,agent,Port Sara,company,move,however,family,expect,may,accept,family,another,past,these,middle,find,wear,arrive,television,life,same,strong,statement,seek
77,77,77,race,Haiti,source,official,spring,interesting,force,where,meet,South Judithshire,address,success,fly,with,eight,garden,card,write,fall,person,forget,hit,rule,get,service,staff,appear,not,size,yeah,letter
78,78,78,probably,Costa Rica,instead,sign,box,capital,partner,last,style,Kevinburgh,without,too,guess,change,responsibility,music,former,fly,story,throughout,data,voice,soon,property,almost,center,set,third,executive,structure,trip
79,79,79,benefit,Rwanda,response,truth,always,theory,bill,color,identify,Sanchezton,debate,management,war,man,nice,win,family,no,family,religious,happen,black,already,bit,style,check,author,force,open,add,financial
80,80,80,include,Zambia,color,around,already,impact,best,blue,mind,New Michaeltown,product,moment,some,defense,middle,budget,board,responsibility,million,toward,read,off,debate,research,nothing,edge,from,heart,since,understand,role
81,81,81,TV,Solomon Islands,which,everything,blue,across,quickly,relate,heavy,Lake Samantha,tell,prepare,foot,reflect,science,choice,property,minute,nor,end,hot,back,say,floor,teach,spring,spring,himself,the,game,body
82,82,82,operation,French Guiana,indicate,product,thing,girl,him,discuss,will,Annatown,public,team,best,nor,nearly,place,or,process,herself,foot,might,speech,different,remain,before,big,behavior,hold,face,next,like
83,83,83,anyone,Heard Island and McDonald Islands,well,surface,catch,voice,many,poor,here,New Leahberg,pass,yeah,environment,break,help,defense,they,model,we,city,sort,prevent,see,sound,environmental,use,race,each,film,window,notice
84,84,84,we,Denmark,indeed,identify,glass,author,eight,four,data,Malonemouth,throw,measure,create,report,fish,south,lead,may,house,radio,know,feel,body,involve,town,include,writer,ok,or,leg,hope
85,85,85,seven,United States Virgin Islands,industry,some,too,respond,read,few,billion,Danielton,pressure,character,threat,social,station,officer,movie,beat,door,ready,memory,boy,check,shoulder,page,institution,I,heart,rule,above,pressure
86,86,86,poor,Venezuela,will,cause,culture,security,identify,throw,food,Johnsonberg,one,perhaps,enter,tree,building,day,race,appear,including,big,rule,now,trip,middle,piece,American,morning,really,environmental,state,stay
87,87,87,out,Niger,actually,whatever,generation,stop,rock,manager,dream,Veronicamouth,bag,election,pressure,pay,act,physical,because,than,worker,ability,sister,between,leader,talk,student,ok,population,response,others,director,them
88,88,88,feel,Burundi,network,control,finally,spend,deep,easy,story,East Clintonstad,east,no,fire,information,look,catch,indicate,her,heavy,animal,than,activity,Republican,central,stop,fish,family,action,letter,low,long
89,89,89,way,Syrian Arab Republic,best,billion,point,which,official,discover,exist,Larsonborough,mission,age,pass,increase,situation,population,response,across,air,candidate,game,on,management,consider,sometimes,ago,every,matter,teacher,artist,eye
90,90,90,degree,Netherlands,never,how,quite,factor,prepare,pattern,on,Harrisburgh,life,truth,join,few,group,for,white,color,artist,unit,body,summer,long,system,employee,both,member,tell,light,early,hope
91,91,91,and,Saint Pierre and Miquelon,quite,this,sense,change,operation,mother,likely,South Sarah,green,control,price,animal,wide,believe,clearly,story,soldier,physical,fight,service,administration,late,really,at,get,maintain,process,with,main
92,92,92,charge,Cuba,fine,education,although,she,help,war,physical,Brownmouth,interesting,agreement,stop,activity,item,worry,cause,create,education,type,their,behavior,military,truth,fire,position,catch,worker,inside,position,cell
93,93,93,industry,Mayotte,fast,form,mind,reveal,talk,activity,enough,Port Walterton,team,pretty,prove,modern,we,able,board,information,section,left,government,enter,bill,series,Mr,buy,remember,economy,process,on,ok
94,94,94,seek,Saudi Arabia,bad,rate,fight,item,so,camera,Mr,Drakeborough,thank,check,take,read,financial,level,deal,social,computer,help,improve,with,eye,wonder,save,spend,sing,within,answer,cell,third
95,95,95,after,Myanmar,term,say,participant,enjoy,ok,social,back,Johnsonberg,training,this,able,thought,necessary,public,within,may,trade,contain,network,fine,issue,eye,should,series,appear,garden,participant,ball,into
96,96,96,knowledge,Netherlands,allow,increase,just,hour,leave,decision,audience,Port Justinmouth,tree,yet,figure,bring,raise,as,college,degree,production,school,edge,approach,training,speech,and,notice,program,produce,thought,represent,nor
97,97,97,trip,Niger,figure,voice,others,yourself,stock,inside,allow,Lake Tanyafurt,baby,join,or,character,include,their,risk,senior,successful,individual,sing,big,can,this,health,listen,natural,guy,word,her,decade
98,98,98,plan,Grenada,into,sister,feel,smile,nor,reflect,claim,West Claudia,dinner,first,understand,full,energy,gas,increase,use,opportunity,class,at,focus,field,or,news,how,forget,business,energy,cup,year
99,99,99,increase,Cape Verde,young,short,beyond,matter,meet,factor,lawyer,Estradatown,money,short,high,health,blood,like,candidate,mind,city,space,turn,positive,join,media,he,plant,white,science,security,once,many
100,100,100,soldier,Lebanon,feeling,its,push,born,buy,personal,money,Maryview,play,science,price,relate,time,figure,in,system,watch,draw,why,billion,minute,actually,detail,message,there,throw,range,appear,last
